nct_id,brief_title,official_title,overall_status,study_type,phases,enrollment_count,enrollment_type,sponsor_name,sponsor_class,collaborator_count,conditions,intervention_types,intervention_names,allocation,intervention_model,masking,primary_purpose,sex,minimum_age,maximum_age,healthy_volunteers,eligibility_criteria,location_count,countries,brief_summary,primary_outcome_measures
NCT05863013,Use of the ADL-Glittre Test in the Pre and Postoperative Period of Patients With Lung Cancer,Longitudinal Changes in the ADL-Glittre Test in Patients With Lung Cancer: Pre- and Postoperative Analysis Using Rehabilitation in a Randomized Controlled Trial,UNKNOWN,INTERVENTIONAL,NA,80.0,ESTIMATED,Centro Universitário Augusto Motta,OTHER,0,"Lung Cancer, Nonsmall Cell|Quality of Life|Physical Disability|Surgery",OTHER,ADL-Glittre Test,RANDOMIZED,PARALLEL,SINGLE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

* Diagnosis of NSCLC stages I to IV, that is, those patients without evidence of mediastinal disease or local organ invasion.
* Age equal to or greater than 18 years.
* The following types of lung surgery: pneumonectomy, bilobectomy, lobectomy, segmentectomy and wedge resection.
* Resection by thoracotomy or video-assisted thoracoscopic surgery.

Exclusion Criteria:

* Patients known to need adjuvant treatments.
* Show inability to walk.
* Not being able to perform pulmonary function tests and/or functional tests.
* Presence of cardiovascular, neurological or orthopedic diseases.
* Bronchopleural fistula, sudden increase in chest drainage or active intrathoracic hemorrhage, chylothorax or other serious adverse events.",1,Brazil,"Lung cancer is the most common type of cancer and the leading cause of cancer death worldwide, in both men and women. Improvements in earlier preoperative staging and more effective adjuvant treatment have improved survival in non-small cell lung cancer, although surgical resection remains the mainstay of care for all patients in stages I to IV.

This study proposes to evaluate the functional capacity through TGlittre in patients with non-small cell lung cancer, before and after thoracic surgery, taking into account the predictive role of this test in the risk of complications and in the evaluation of the impact of functional rehabilitation.",Functional capacity through the Glittre Activities of Daily Living test (ADL-Glittre test).
NCT01249443,Paclitaxel and Carboplatin in Treating Patients With Metastatic or Recurrent Solid Tumors and HIV Infection,A Phase 1 Study of Paclitaxel and Carboplatin in Solid Tumors (With Focus on Upper Aerodigestive Cancers) in Persons With HIV Infection,TERMINATED,INTERVENTIONAL,PHASE1,17.0,ACTUAL,AIDS Malignancy Consortium,NETWORK,3,"HIV Infection|Recurrent Anal Cancer|Recurrent Breast Cancer|Recurrent Esophageal Cancer|Recurrent Gastric Cancer|Recurrent Metastatic Squamous Neck Cancer With Occult Primary|Recurrent Non-small Cell Lung Cancer|Recurrent Ovarian Epithelial Cancer|Recurrent Salivary Gland Cancer|Recurrent Squamous Cell Carcinoma of the Hypopharynx|Recurrent Squamous Cell Carcinoma of the Larynx|Recurrent Squamous Cell Carcinoma of the Lip and Oral Cavity|Recurrent Squamous Cell Carcinoma of the Nasopharynx|Recurrent Squamous Cell Carcinoma of the Oropharynx|Recurrent Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Recurrent Verrucous Carcinoma of the Larynx|Recurrent Verrucous Carcinoma of the Oral Cavity|Salivary Gland Squamous Cell Carcinoma|Stage IV Anal Cancer|Stage IV Breast Cancer|Stage IV Esophageal Cancer|Stage IV Gastric Cancer|Stage IV Non-small Cell Lung Cancer|Stage IV Ovarian Epithelial Cancer|Stage IV Salivary Gland Cancer|Stage IV Squamous Cell Carcinoma of the Hypopharynx|Stage IV Squamous Cell Carcinoma of the Larynx|Stage IV Squamous Cell Carcinoma of the Lip and Oral Cavity|Stage IV Squamous Cell Carcinoma of the Nasopharynx|Stage IV Squamous Cell Carcinoma of the Oropharynx|Stage IV Squamous Cell Carcinoma of the Paranasal Sinus and Nasal Cavity|Stage IV Verrucous Carcinoma of the Larynx|Stage IV Verrucous Carcinoma of the Oral Cavity|Unspecified Adult Solid Tumor, Protocol Specific",DRUG|OTHER,vorinostat|diagnostic laboratory biomarker analysis|pharmacological study|carboplatin|paclitaxel,NA,SINGLE_GROUP,NONE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

* Patients must have known HIV infection and histologically confirmed solid malignancy that is metastatic or unresectable and is therefore incurable; although the focus of this trial will be on upper aerodigestive cancers (non-small cell lung cancer, head and neck squamous cell carcinoma, and non-gastroesophageal junction esophageal cancer), patients with other incurable solid tumor with disease potentially sensitive to carboplatin and/or taxanes (including but not limited to salivary gland cancer, gastric cancer, breast cancer, ovarian cancer, or anal cancer, BUT excluding Kaposi sarcoma), will be eligible
* Up to 1 prior systemic therapy regimen will be permitted for palliative treatment of metastatic or unresectable relapsed disease; however, previous chemotherapy delivered with curative-intent (i.e., chemoradiotherapy or adjuvant \[postoperative\] chemotherapy at a time disease was considered potentially curable) will be permitted; prior taxane (including paclitaxel or docetaxel) and/or platinum exposure will be permitted; however, patients must not experience disease progression within 3 months of platinum-based therapy; at least 4 weeks must have elapsed since prior chemotherapy or radiation therapy, 6 weeks if the last regimen included carmustine (BCNU) or mitomycin C; toxicities from prior anticancer therapy must have recovered to =\< Grade 1
* Serologic documentation of HIV infection at any time prior to study entry, as evidenced by positive enzyme-linked immunosorbent assay (ELISA), positive Western Blot, or any other federally approved licensed HIV test; a positive HIV viral load prior to study entry will also be permitted
* Eastern Cooperative Oncology Group (ECOG) performance status =\< 2 (Karnofsky \>= 50%)
* Documented life expectancy of greater than 12 weeks
* Leukocytes \>= 3,000/mcL
* Absolute neutrophil count \>= 1,500/mcL
* Platelets \>= 100,000/mcL
* Total bilirubin within normal institutional limits
* Aspartate aminotransferase (AST)(serum glutamic-oxaloacetic transaminase \[SGOT\])/alanine aminotransferase (ALT)(serum glutamic-pyruvic transaminase \[SGPT\]) =\< 2.5 X institutional upper limit of normal
* Creatinine within normal institutional limits OR creatinine clearance \>= 50 mL/min/1.73 m\^2 for patients with creatinine levels above institutional normal
* Additionally, serum magnesium and potassium must be within institutional normal limits, and a CD4 count \> 100/mcL will be required within 2 weeks of study participation
* Presence of at least one measureable tumor lesion is required
* Participating patients must receive medically appropriate care and treatment for HIV infection, including antiretroviral medications, when clinically indicated, and should be under the care of a physician experienced in HIV management; with the exception of treatment with zidovudine and stavudine, patients will be eligible regardless of antiretroviral regimen (no antiretroviral therapy, nonnucleoside reverse transcriptase inhibitors \[NNRTI\]-based therapy, or protease inhibitor based therapy), provided there is no intention to initiate therapy or the regimen has been stable for at least 4 weeks with no intention to change the regimen within 8 weeks following study entry; the exact regimen used for HIV therapy will be captured on Case Report Forms; as study-specific (antiretroviral therapy-based) strata fill, however, only patients fitting the remaining open strata will be accrued
* Because histone deacetylase inhibitors as well as other therapeutic agents used in this trial are known to be teratogenic, women of child-bearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry, during the duration of study participation, and for at least 3 months following study completion; should a woman become pregnant or suspect she is pregnant while participating in this study, she should inform her treating physician immediately; women of child-bearing potential must have a negative pregnancy test within 7 days before initiation of study drug dosing; post menopausal women must be amenorrheic for at least 12 months to be considered of non-childbearing potential; (Note: A woman of childbearing potential is one who is biologically capable of becoming pregnant; this includes women who are using contraceptives or whose sexual partners are either sterile or using contraceptives)
* Ability to understand and the willingness to sign a written informed consent document; as the correlative studies are critical to the clinical and scientific value of the trial, CD4 count/HIV viral load determinations will be required, and participation in the tumor-based correlative studies will be strongly recommended; additionally, investigators MUST request sample donation to the AIDS Cancer Specimen Resource (ACSR); however, the patient may refuse sample donation; patients accrued to the expansion phase of the study will be required to undergo pharmacokinetic sampling
* Subjects must in the opinion of the Investigator be capable of complying with this protocol

Exclusion Criteria:

* Patients who have had chemotherapy or radiotherapy within 4 weeks (6 weeks for nitrosoureas or mitomycin C) prior to entering the study or those who have not recovered from adverse events (toxicities not improved to =\< Grade 1) due to agents administered more than 4 weeks earlier; additionally, patients experiencing disease progression within 3 months of platinum-based therapy will be excluded from trial participation
* Due to availability of effective first- and second-line therapies (as well as disease-specific clinical trials), patients with diagnosis of active Kaposi sarcoma will be excluded from study participation; however, persons with other active malignancy with prior history of Kaposi sarcoma can be considered for participation at the discretion of the Study Chair
* Patients may not be receiving any other investigational agents
* Patients with known brain metastases should be excluded from this clinical trial because of their poor prognosis and because they often develop progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events
* History of allergic reactions attributed to compounds of similar chemical or biologic composition to the study agents used in study (including hypersensitivity to paclitaxel, Cremophor, or platins)
* For subjects assigned to take vorinostat, inability to take oral medications; vorinostat capsules must be administered whole; note: this criterion does NOT apply to subjects treated on the Expansion Cohort (accruals post February 1, 2013)
* As ketoconazole may inhibit paclitaxel metabolism, patients receiving ketoconazole for any treatment indication are ineligible; patients receiving any other medications or substances that are inhibitors or inducers of CYP450 enzymes will be eligible; however, use all such medications or substances must be documented in the Case Report Forms
* For subjects assigned to take vorinostat, prior exposure to vorinostat or other known histone deacetylase (HDAC) inhibitors for cancer therapy; patients should not have taken valproic acid, another histone deacetylase inhibitor, for at least 2 weeks prior to study enrollment; note: this criterion does NOT apply to subjects treated on the Expansion Cohort (accruals post February 1, 2013)
* Since zidovudine and stavudine have potential for severe hematological toxicity potentially overlapping with toxicities of the study therapy, treatment with these agents will be disallowed
* Due to potential toxicity associated with study therapy (particularly with paclitaxel), patients with peripheral neuropathy \> Grade 1 will be excluded from study participation
* Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, opportunistic infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements; patients with HIV infection will be eligible provided they meet the criteria specified; patients with known Hepatitis B infection should be screened for active disease prior to study participation; patients with chronic Hepatitis C infection will be eligible at the discretion of the treating investigator
* Pregnant women are excluded from this study and women who become pregnant while on study must be immediately discontinued; women who are breastfeeding will not be eligible for study participation",10,United States,"This phase I clinical trial is studying the side effects and the best dose of vorinostat when given together with paclitaxel and carboplatin in treating patients with metastatic or recurrent solid tumors and human immunodeficiency virus (HIV) infection. Vorinostat may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Drugs used in chemotherapy, such as paclitaxel and carboplatin, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving vorinostat together with paclitaxel and carboplatin may kill more tumor cells.

NOTE: An administrative decision was made by NCI to halt further study of vorinostat in this specific patient population as of February 1, 2013. No patients remain on vorinostat. Going forward this study will determine the safety and tolerability of the paclitaxel and carboplatin combination in this patient population.","Incidence of adverse events during paclitaxel and carboplatin treatment according to dose-limiting toxicities (DLTs), graded using Common Terminology Criteria for Adverse Events version 4.0 (CTCAE v4.0)"
NCT00804947,Autologous Stem Cell Transplant (ASCT) With Intravenous Busulfan and Melphalan as Conditioning Regimen,Ensayo Fase II de Trasplante autólogo de Sangre periférica en Pacientes Con Mieloma múltiple Tras Acondicionamiento Con Busulfan Intravenoso y Melfalan,UNKNOWN,INTERVENTIONAL,PHASE2,50.0,ESTIMATED,Fundacion Para La Investigacion Hospital La Fe,OTHER,0,Multiple Myeloma,DRUG,Intravenous busulfan and melphalan,NA,SINGLE_GROUP,NONE,TREATMENT,ALL,18 Years,70 Years,False,"Inclusion Criteria:

* Symptomatic multiple myeloma
* Male or female subject age \>= 70 years
* The subject has received at least one previous line of therapy including:
* Front-line treatment with VBMCP/VBAD or VAD or second-line therapy with regimens including bortezomib, thalidomide or lenalidomide
* The subject has given voluntary written informed consent

Exclusion Criteria:

* Use of bortezomib, thalidomide or lenalidomide as front-line therapy
* ECOG satus \>=2
* Left ventricular ejection fraction \<40%
* DLCO and FVC \<39% theoretical value
* Abnormal liver function(total bilirubin \> 2 mg/dL and/or ALT or AST \> 3 x ULN)
* Serum creatinine at transplant \>1.6 mg/dL and/or creatinine clearance \< 65 mL/minute
* Subject has an active systemic infection requiring treatment
* Subject had a myocardial infarction within 6 months of enrollment or has NYHA Class III or IV heart failure, uncontrolled angina, severe uncontrolled ventricular arrythmias
* Subject has any other serious medical condition (severe hepatic impairment, pericardial disease, acute diffuse infiltrative pulmonary disease) or psychiatric illness that could potentially interfere with the completion of treatment of this protocol
* Subject is known to be immunodeficiency virus (HIV)-positive
* Subject has received an experimental drug or used and experimental medical device within 4 weeks before enrollment
* If female, the subject is pregnant or breast-feeding. Confirmation that the subject is not pregnant must be established by a negative pregnancy test at screening. Pregnancy testing is not required for postmenopausal or surgically sterilized women",6,Spain,Analyze the results of ASCT using intravenous Busulfan and Melphalan as conditioning regimen for patients with Multiple Myeloma.,The primary objective of this study is to analyze the safety profile and determine the overall response rate after ASCT with this conditioning regimen.
NCT03548727,Pseudo-Simultaneous Imaging of Tumor Hypoxia and Proliferation in HNC Patients Using PET/CT,A Pilot Study to Assess the Feasibility of Pseudo-Simultaneous Imaging of Tumor Hypoxia and Proliferation in Head and Neck Cancer Patients Using PET/CT,WITHDRAWN,INTERVENTIONAL,EARLY_PHASE1,0.0,ACTUAL,Weill Medical College of Cornell University,OTHER,0,Head and Neck Cancer,DIAGNOSTIC_TEST,PET/CT Imaging,RANDOMIZED,PARALLEL,NONE,DIAGNOSTIC,ALL,18 Years,,False,"Subject Inclusion Criteria:

* Pathologic Confirmation of HNC
* No prior treatment for this diagnosis of HNC
* Patient to be treated with Radio-Therapy
* Age \>= 18 years old
* Karnofsky performance status \>= 70%
* Women of childbearing age must have a negative blood pregnancy test.

Exclusion Criteria:

* Women who are pregnant or breast-feeding.
* Severe diabetes (fasting blood glucose \> 200- mg/dl)
* Adults who are unable to consent
* Patients who do not agree to share and store data History of lack of tolerance of the standard of care FDG-PET scan previously obtained
* History of previous intolerance of either FMISO or FLT.",1,United States,"66% of HNC patients present with advanced-stage disease at initial diagnosis. The 5-year survival rates for stages IVa, IVb, and IVc are 32%, 25%, and \&lt;4% respectively. Accurate pre-treatment staging is vital in determining the optimum procedure for the management of HNC. Early identification of non-responders may allow modification of their treatment through the introduction of more intensive therapies. Identifying prognostic factors that predict patient outcome will ultimately lead to new treatment regimens. Tumor hypoxia and proliferation are two key characteristics of cancer that were shown to correlate with poor response to treatment in HNC. In this proposal, the investigators assess the prognostic values of these two markers. Combining information from these two biological markers shall result in prognostic information superior to those of any of the two separately. Imaging those vital tumor characteristics simultaneously shall provide more coherent assessment of tumor microenvironment than does registration of corresponding images acquired in different imaging session, thus subject to uncertainties resulting from transient biologic changes and image registration process. The investigators propose to use a method that the investigators previously developed to simultaneously and non-invasively image tumor hypoxia (FMISO-PET) and proliferation (FLT-PET) within a single PET/CT study. CT Perfusion scan will be performed 1st, followed by PET imaging with staggered FMISO and FLT injections. FMISO and FLT signals will be separated retrospectively using kinetic modeling. The investigators believe imaging tumor hypoxia and cell proliferation simultaneously yield information underpinning for image-guided and radiobiological based dose painting, adaptive therapy, and patient medical management. If successful, this pilot study will constitute the basis for a NIH grant proposal that aims to improve treatment outcome assessment in HNC.",Simultaneous Imaging of tumor hypoxia and proliferation
NCT01230788,Rituximab for Patients With Relapsed Acute Lymphoblastic Leukemia,A Trial of Rituximab Combined With Prednisone/Ifosfamide/Etoposide for Relapsed Acute Lymphoblastic Leukemia (ALL),TERMINATED,INTERVENTIONAL,NA,1.0,ACTUAL,Emory University,OTHER,0,Leukemia|Acute Lymphoblastic Leukemia|ALL,DRUG,rituximab,NA,SINGLE_GROUP,NONE,TREATMENT,ALL,1 Year,30 Years,False,"Inclusion Criteria:

1. Age: Patients must be 1-30 years of age at initial diagnosis.
2. Diagnosis: Patients must have histologically-confirmed relapsed/refractory Acute Lymphoblastic Leukemia (ALL).
3. Disease Status:Patients must be in

   * second or greater bone marrow relapse (≥ 25% blasts by morphology), or
   * refractory to reinduction therapy with one or more attempts at remission reinduction (end of reinduction blasts ≥ 5% by morphology and/or end of reinduction MRD ≥ 1% by flow cytometry).
   * Patients with combined bone marrow and extramedullary relapse are eligible (CNS 3 patients excluded).
4. Performance Status: Patients must have a performance status of ≥50 from the Lansky Scale if \<10 years or ≥ 50 or from the Karnofsky Scale if ≥ 10 years. Patients who are unable to walk because of paralysis, but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score.
5. Prior Therapy: Patients must have fully recovered from the acute toxic effects of all prior chemotherapy, immunotherapy, or radiotherapy prior to entering this study and meet time restrictions from end of prior therapy as stated below:

   * Myelosuppressive chemotherapy: must not have received within 2 weeks of entry onto this study (4 weeks in the case of nitrosurea containing therapy). Patients who relapse while receiving ALL maintenance chemotherapy will not be required to have a waiting period before entry onto this study. Cytoreduction with hydroxyurea can be initiated and continued for up to 24 hours prior to the start of therapy.
   * XRT: must be ≥ 4 weeks since the completion of radiation therapy.
   * Study specific limitations: must be ≥ 7 days since the completion of corticosteroid therapy.
   * Growth factor(s): Must not have received any hematopoietic growth factors (GCSF, Neulasta, or GMCSF) within 7 days of study entry.
   * Stem Cell Transplant: Patients must be at least two months from stem cell transplant, must be off immunosuppressives, and must have no evidence of active graft versus host disease.

   Biologic (anti-neoplastic agent): At least 7 days since the completion of therapy with a biologic agent. For agents that have known adverse events occurring beyond 7 days after administration, this period must be extended beyond the time during which adverse events are known to occur. The duration of this interval must be discussed with the study chair.
6. Institutional review board approval.
7. Individual informed consent per local guidelines and federal and state regulations.
8. Organ Function: All patients must have adequate organ function defined as:

   * Renal Function: Patients must have a calculated creatinine clearance or radioisotope GFR ≥ 70mL/min/1.73m2 or a normal serum creatinine based on age/gender.
   * Liver Function: Total bilirubin ≤ 1.5 x institutional upper limit of normal (ULN) for age, AND SGPT (ALT) ≤ 5 x institutional ULN for age
   * Cardiac Function: Ejection fraction \> 50% on echocardiogram or MUGA Scan, OR Shortening fraction ≥ 27% on echocardiogram or MUGA Scan
   * Reproductive Function: Due to potential teratogenic effects of the drugs, all post-menarchal female patients must have a negative serum beta HCG prior to study enrollment. In addition, all patients of childbearing or child-fathering potential must agree to a medically acceptable form of contraception, including abstinence, while on study.

Exclusion Criteria:

1. Patients with an active and uncontrolled infection, defined as need for pressors, and/or positive cultures for 24 hours.
2. Patients recovering from allogeneic bone marrow transplantation who are still on immunosupressants.
3. Pregnant or lactating females. Women of childbearing age will agree to use contraception during the protocol.
4. Patients currently receiving other investigational agents, medications, or supplements with a known anti-leukemic effect.
5. Patients who, in the opinion of the investigator, will not be able to comply with safety monitoring requirements of the study.
6. Patients with reactivation of hepatitis B prior to starting therapy.
7. Patients who are HIV positive.
8. Patients must not have CNS 3 involvement.",3,United States,"This is a pilot study of a drug called rituximab used together with other drugs-prednisone, etoposide, and ifosfamide. Prednisone, etoposide, and ifosfamide have been used as part of standard chemotherapy for relapsed Acute Lymphoblastic Leukemia (ALL). Rituximab was approved by the Food and Drug Administration in 1997. However, the use of rituximab with prednisone, etoposide, and ifosfamide in pediatric patients with relapsed or refractory ALL is considered experimental.

This study is for patients who have ALL in second or greater relapse, or in first relapse and not responding to treatment.

The goals of this study are:

* To see if using rituximab with prednisone, etoposide, and ifosfamide is beneficial to leukemia treatment
* To find out what side effects this combination of drugs can cause

A total of 15 participants (30 years old or younger) will be enrolled, over a period of 2 years.",4 Month Event Free Survival (EFS)|Toxicities of Rituximab|Remission Induction Rate
NCT00609297,Pain Control in Hospice Patients With Cancer-Related Pain,"Opioid Titration in the Hospice Setting: Barriers Assessment and Modification of the Model Order Sheet and Protocol Stage 2, Part A",COMPLETED,OBSERVATIONAL,,22.0,ACTUAL,Vanderbilt-Ingram Cancer Center,OTHER,1,Pain|Solid Tumor,OTHER,medical chart review|questionnaire administration|survey administration,,,,,ALL,21 Years,,True,"Inclusion Criteria:

Patient eligibility includes:

* Alive Hospice outpatient
* Diagnosis of carcinoma
* Pain requiring fixed dose opioids
* Age \> 21 years
* Not pregnant or lactating
* Willing and able to sign informed consent -Able to speak/comprehend English

Caregiver eligibility will include:

* Caregiver for an Alive Hospice patient
* Willing and able to sign informed consent
* Able to speak/comprehend English

Exclusion Criteria:

PRIOR CONCURRENT THERAPY:

* Not specified",1,United States,"RATIONALE: Gathering information over time about cancer-related pain from patients in a hospice and their caregivers may help doctors learn more about pain control.

PURPOSE: This clinical trial is studying how well standard pain control works in hospice patients with cancer-related pain.",Description of standard pain management methods and outcomes in the hospice setting
NCT03838406,BReast CAncer Genes(BRCA) Expressions in Metastatic Gastric Cancer,A Pilot Trial of Platinum Based Chemotherapy According to BRCA Expressions as First-line Chemotherapy in Patients With Metastatic Gastric Cancer,COMPLETED,INTERVENTIONAL,NA,30.0,ACTUAL,Chung-Ang University,OTHER,0,BRCA Gene Rearrangement,DRUG|GENETIC,BRCA 1|Chemotherapy,RANDOMIZED,PARALLEL,NONE,TREATMENT,ALL,19 Years,,False,"Inclusion Criteria:

* Metastatic gastric cancer( Adenocarcinoma)
* Eastern Cooperative Oncology Group (ECOG) performance 0-2
* one more measure lesion
* White blood cell count (WBC) \> 3000/ul , Platelet \> 75,000/ul
* Normal kidney function (serum creatinine \< 1.5 ULN)
* Normal Liver function (Aspartate aminotransferase (AST)/ Alanine aminotransferase (ALT) \< 3 times of upper normal limit, if liver metastasis, AST/ALT \< 5 times of upper normal limit)
* life expectancy is more than 3 months
* Conventional surgery that does not cause the transformation of the target lesion is allowed
* The patient who voluntarily decided to participate in this study and agreed in writing

Exclusion Criteria:

* Her-2 positive advanced gastric cancer
* Central nervous system metastases requiring treatment with symptoms
* Major uncontrolled cardiovascular disease (including myocardial infarction and congestive heart failure within 6 months)
* Uncontrolled infection or other serious diseases
* Patients with serious medical conditions or serious illnesses
* Patient who is pregnant or lactating
* Adjuvant chemotherapy before 6 months (patients who have not received platinum-based chemotherapy even if they are 6 months old can register)
* In the past, if the primary lesion or target lesion was treated with radiation (if the recurred lesion is outside the range of radiation therapy)",1,South Korea,The investigators evaluated the incidence of BRCA loss in patients with advanced gastric cancer and observed the treatment outcome and prognosis according to BRCA loss. And the investigators evaluated the possibility of BRCA loss as a predictive and prognostic factor.,Objective response rate
NCT05026268,The Laparoscopic Right Colectomy With Intracoroporeal Anastomosis,The Laparoscopic Right Colectomy With Intracoroporeal Anastomosis,UNKNOWN,INTERVENTIONAL,NA,2.0,ESTIMATED,"State Scientific Centre of Coloproctology, Russian Federation",OTHER_GOV,0,Colon Cancer,PROCEDURE,intracorporeal anastomosis,RANDOMIZED,PARALLEL,NONE,TREATMENT,ALL,18 Years,,False,"Inclusion Criteria:

* Patients age is 18 years and older
* Patients with right colon cancer
* Informed agreement

Exclusion Criteria:

* Carcinomatosis
* Primary tumor stage T4b
* Refusal of anastomosis
* Refusal of the patient to participate in the study",1,Russia,"This is a randomized, controlled, ""non-inferiority"" trial to determine the non-difference in post-operative complications rate in laparoscopic right colectomy with intracorporeal or extracorporeal anastomosis formation.",Post-operative complications rate
NCT01672359,Evaluating Whole Foods Supplementation on Cognition,The Effect of Whole-Food Dietary Supplementation on Cognitive and Immune Functioning and Quality of Life in Healthy Older Adults,COMPLETED,INTERVENTIONAL,NA,97.0,ACTUAL,University of Miami,OTHER,1,Sub-optimal Cognitive Function|Sub-optimal Immune Function,DIETARY_SUPPLEMENT,Ginkgo Synergy® and Choline|OPC Synergy® and Catalyn|Placebo,RANDOMIZED,PARALLEL,QUADRUPLE,PREVENTION,ALL,60 Years,,True,"Inclusion Criteria:

* 60 years of age and older
* English speaking
* Not living in a skilled or intermediate care level nursing facility
* No use of dietary supplements for cognitive functioning two weeks before enrolling in the study and during the length of the trial
* A Mini-Mental State Exam (MMSE) score ≥ 23

Exclusion Criteria:

* A cognitive deficit greater than that indicated according to the MMSE score
* A clinical diagnosis of AD and/or related disorders
* A psychiatric diagnosis of schizophrenia, other psychotic disorders, bipolar disorder, major depression with psychotic features, delirium, and alcohol or substance abuse/dependence
* Bleeding disorders
* Aphasia or sensory, motor, and/or visual disturbances that would have interfered with psychometric tests
* Gastrointestinal disorders causing impaired absorption of the study supplements
* Insulin-dependent diabetes
* Major conditions such as cardiovascular, pulmonary, renal, thyroid, hepatic, gastrointestinal, or seizure
* Hematologic or oncologic disorders treated with chemotherapy in the previous two years
* Active chemotherapy or radiation treatment for cancer
* Current cigarette smoking
* More than three major medical or psychiatric hospitalizations in the past year
* Diagnosis of a terminal illness
* A T score \> 70 on the Global Severity Index of the Brief Symptoms Inventory (BSI)
* A score ≥ 29 on the Beck Depression Inventory-II (BDI) (15)
* Prescription and OTC sympathomimetic amines and antihistamines within 2 days of an assessment visit
* Cognition enhancing drugs consumption such as Donepezil, Rivastigmine, Galantamine, and Tacrine
* Coumadin, tricyclic antidepressants, antipsychotics, and anticonvulsants
* Cognition-enhancing supplements, herbs, or antioxidants that could not be stopped during the trial
* Participating in a concurrent trial for drugs, supplements, or treatment that affects behavior or cognitive function",1,United States,A six-month study which investigated the effect of Ginkgo Synergy® and Choline or OPC Synergy® and Catalyn® on cognitive and immune function markers and quality of life among healthy older adults with no history of significant cognitive deficits,Cognitive Measures
NCT00228930,Tamoxifen Pharmacogenetics and Clinical Effects,A Pilot Trial Correlating Metabolic Profile of Tamoxifen With Pharmacogenetic Predictors and Clinical Effects,COMPLETED,OBSERVATIONAL,,297.0,ACTUAL,National Institute of General Medical Sciences (NIGMS),NIH,1,Breast Cancer,DRUG,Tamoxifen (pharmacodynamic analysis),,,,,FEMALE,18 Years,70 Years,False,"Inclusion Criteria:

1. 18-years or older
2. Women with a prior breast cancer or who are at a high risk for developing the disease and about to start tamoxifen therapy.
3. Participants must not be treated with concomitant chemotherapy or hormone therapy other than tamoxifen. They must not have ovarian ablation or currently being treated with radiation therapy and/or chronic corticosteroids.
4. The participant must not be taking anti-hot flash therapy (clonidine, bellergal, megestrol acetate). Vitamin E, selective serotonin reuptake inhibitors, or herbal remedies are allowed provided that the participant has been taking the remedy for at least 4 weeks and intends to continue the remedy for at least the first month while on the study, and allows for one-month follow up evaluation (hot flash diaries and blood samples).
5. The participant must not be pregnant or lactating.
6. The participant is able and willing to sign an informed consent.",2,United States,The purpose of this research is to try to identify which women who take tamoxifen are likely to suffer from hot flashes or are more likely to have other side effects or benefits from the drug. The researchers will do so by determining whether there are mutations that normally occur in human DNA that might influence the way individuals respond to medications.,
